Time(s),CH1V,CH2V
-1.000000e-02,2.533333e-03,-8.186666e-03
-9.800000e-03,-4.466667e-03,-1.333333e-02
-9.600000e-03,8.600000e-03,-6.400000e-03
-9.400000e-03,-3.933333e-03,-1.253333e-02
-9.200000e-03,8.466667e-03,-6.853333e-03
-9.000000e-03,-4.333334e-03,-1.242667e-02
-8.800000e-03,-5.133334e-03,-1.349333e-02
-8.600000e-03,7.066667e-03,-5.306667e-03
-8.400000e-03,-5.133334e-03,-1.277333e-02
-8.200000e-03,6.666667e-03,-6.453333e-03
-8.000000e-03,-5.133334e-03,-6.186666e-03
-7.800000e-03,6.400000e-03,-1.325333e-02
-7.600000e-03,6.800000e-03,-1.437333e-02
-7.400000e-03,-5.666667e-03,-6.293333e-03
-7.200000e-03,-4.866667e-03,-5.973333e-03
-7.000000e-03,7.666667e-03,-1.360000e-02
-6.800000e-03,-6.066667e-03,-6.400000e-03
-6.600000e-03,6.400000e-03,-1.405333e-02
-6.400000e-03,-5.133334e-03,-6.533333e-03
-6.200000e-03,6.266667e-03,-1.461333e-02
-6.000000e-03,-5.133334e-03,-1.202667e-02
-5.800000e-03,7.200000e-03,-5.973333e-03
-5.600000e-03,6.133333e-03,-1.360000e-02
-5.400000e-03,-8.533333e-03,-5.573333e-03
-5.200000e-03,-1.040000e-02,-1.594667e-02
-5.000000e-03,1.313333e-02,-5.466667e-03
-4.800000e-03,-1.066667e-02,-1.626667e-02
-4.600000e-03,1.406667e-02,-2.906667e-03
-4.400000e-03,-1.360000e-02,-1.386667e-03
-4.200000e-03,1.313333e-02,-1.426667e-02
-4.000000e-03,-4.733333e-03,-6.293333e-03
-3.800000e-03,5.866667e-03,-1.253333e-02
-3.600000e-03,6.533334e-03,-1.426667e-02
-3.400000e-03,-5.933333e-03,-6.133333e-03
-3.200000e-03,-6.600000e-03,-1.589333e-02
-3.000000e-03,5.600000e-03,-4.853333e-03
-2.800000e-03,6.800000e-03,-4.186667e-03
-2.600000e-03,-9.066666e-03,-1.493333e-02
-2.400000e-03,7.666667e-03,-5.466667e-03
-2.200000e-03,-5.266667e-03,-1.314667e-02
-2.000000e-03,9.800000e-03,-4.506667e-03
-1.800000e-03,-5.000000e-03,-1.498667e-02
-1.600000e-03,-4.600000e-03,-5.920000e-03
-1.400000e-03,7.933334e-03,-1.253333e-02
-1.200000e-03,-1.080000e-02,-1.498667e-02
-1.000000e-03,1.313333e-02,-4.560000e-03
-8.000000e-04,-1.066667e-02,-4.293333e-03
-6.000000e-04,1.460000e-02,-1.650667e-02
-4.000000e-04,-1.120000e-02,-1.549333e-02
-2.000000e-04,5.316667e-01,8.737867e-01
-4.878910e-19,8.014667e-01,8.737867e-01
2.000000e-04,5.280000e-02,-8.738133e-01
4.000000e-04,1.353333e-02,-4.817867e-01
6.000000e-04,6.426667e-02,2.199733e-01
8.000000e-04,7.353333e-02,2.846667e-01
1.000000e-03,1.826667e-02,-2.322933e-01
1.200000e-03,2.406667e-02,-1.430133e-01
1.400000e-03,-9.333333e-03,6.506400e-01
1.600000e-03,8.066666e-03,-8.738133e-01
1.800000e-03,-4.333334e-03,8.602933e-01
2.000000e-03,6.000000e-03,8.668534e-01
2.200000e-03,-5.666667e-03,-8.288533e-01
2.400000e-03,6.933333e-03,-8.738133e-01
2.600000e-03,-6.200000e-03,3.189333e-01
2.800000e-03,-5.133334e-03,3.195467e-01
3.000000e-03,1.233333e-02,8.737867e-01
3.200000e-03,-7.533333e-03,-4.127200e-01
3.400000e-03,9.266667e-03,6.988000e-01
3.600000e-03,-6.333333e-03,5.933600e-01
3.800000e-03,7.666667e-03,-6.374933e-01
4.000000e-03,4.400000e-03,-4.197067e-01
4.200000e-03,-5.133334e-03,5.841067e-01
4.400000e-03,-4.866667e-03,1.166933e-01
4.600000e-03,6.266667e-03,-8.062933e-01
4.800000e-03,-6.733333e-03,-8.217866e-01
5.000000e-03,8.733333e-03,8.737867e-01
5.200000e-03,-5.666667e-03,7.558666e-01
5.400000e-03,5.733334e-03,-8.354667e-02
5.600000e-03,-6.866667e-03,1.924267e-01
5.800000e-03,6.266667e-03,-6.730400e-01
6.000000e-03,6.000000e-03,-6.649600e-01
6.200000e-03,-5.666667e-03,1.007467e-01
6.400000e-03,-5.400000e-03,7.141067e-01
6.600000e-03,1.073333e-02,-3.388267e-01
6.800000e-03,9.266667e-03,-5.988800e-01
7.000000e-03,-5.800000e-03,4.418133e-01
7.200000e-03,8.333334e-03,6.787733e-01
7.400000e-03,-7.400000e-03,-7.813334e-03
7.600000e-03,-5.666667e-03,-8.373333e-03
7.800000e-03,6.000000e-03,-2.586400e-01
8.000000e-03,-6.733333e-03,-1.618400e-01
8.200000e-03,6.400000e-03,-3.485333e-01
8.400000e-03,4.266667e-03,-2.306667e-01
8.600000e-03,-1.173333e-02,7.697333e-01
8.800000e-03,-7.866667e-03,7.658933e-01
9.000000e-03,5.333333e-03,-7.202933e-01
9.200000e-03,6.266667e-03,-5.261334e-01
9.400000e-03,-6.466667e-03,9.474666e-02
9.600000e-03,4.933333e-03,3.389333e-02
9.800000e-03,-5.133334e-03,-5.167733e-01
1.000000e-02,5.600000e-03,-5.192267e-01
1.020000e-02,-4.733333e-03,-3.413333e-03
1.040000e-02,-7.400000e-03,-3.544267e-01
1.060000e-02,6.400000e-03,5.868267e-01
1.080000e-02,-6.333333e-03,7.019200e-01
1.100000e-02,5.600000e-03,-8.405333e-02
1.120000e-02,6.800000e-03,-4.379733e-01
1.140000e-02,-5.800000e-03,-4.448000e-02
1.160000e-02,-8.533333e-03,-4.357333e-02
1.180000e-02,6.266667e-03,3.204533e-01
1.200000e-02,5.333333e-03,3.466667e-03
1.220000e-02,-4.200000e-03,2.194667e-01
1.240000e-02,4.933333e-03,2.497333e-01
1.260000e-02,-5.800000e-03,-9.562667e-02
1.280000e-02,4.266667e-03,-3.762667e-02
1.300000e-02,-1.106667e-02,3.757333e-01
1.320000e-02,4.933333e-03,1.445067e-01
1.340000e-02,-6.733333e-03,-7.268267e-01
1.360000e-02,5.066667e-03,-7.125600e-01
1.380000e-02,-6.600000e-03,2.199733e-01
1.400000e-02,-5.666667e-03,2.340533e-01
1.420000e-02,3.466667e-03,-5.477333e-02
1.440000e-02,5.866667e-03,2.016800e-01
1.460000e-02,-6.600000e-03,-1.505867e-01
1.480000e-02,-6.333333e-03,-1.702667e-01
1.500000e-02,7.800000e-03,8.024000e-02
