RIGOL Bode Data
Para Set
StartFreq:,10.000000Hz
StopFreq:,50000.000000Hz
Freq(Hz),Gain(dB),Phase(°)
10,-0.245013,-0.93192
10.2329,-0.245683,-0.951673
10.4713,-0.24539,-0.962225
10.7152,-0.245601,-0.978479
10.9648,-0.245829,-0.99807
11.2202,-0.245591,-1.01985
11.4815,-0.246221,-1.04739
11.749,-0.246516,-1.06877
12.0226,-0.246155,-1.09535
12.3027,-0.245825,-1.12097
12.5893,-0.246005,-1.15115
12.8825,-0.245649,-1.17907
13.1826,-0.245969,-1.20551
13.4896,-0.246176,-1.23438
13.8038,-0.245982,-1.26342
14.1254,-0.245804,-1.28981
14.4544,-0.245386,-1.32359
14.7911,-0.245808,-1.35188
15.1356,-0.245961,-1.38563
15.4882,-0.245775,-1.42112
15.8489,-0.24634,-1.45406
16.2181,-0.246569,-1.48987
16.5959,-0.246391,-1.52819
16.9824,-0.246273,-1.56361
17.378,-0.246712,-1.60124
17.7828,-0.246953,-1.63845
18.197,-0.247451,-1.6793
18.6209,-0.247576,-1.71799
19.0546,-0.248164,-1.75931
19.4984,-0.248135,-1.8006
19.9526,-0.247992,-1.84355
20.4174,-0.248256,-1.88589
20.893,-0.248684,-1.93072
21.3796,-0.248757,-1.97573
21.8776,-0.249166,-2.02526
22.3872,-0.249329,-2.07319
22.9087,-0.249997,-2.12287
23.4423,-0.250556,-2.17247
23.9883,-0.250505,-2.22536
24.5471,-0.25103,-2.27724
25.1189,-0.251181,-2.32776
25.704,-0.251483,-2.38273
26.3027,-0.251354,-2.44014
26.9153,-0.251843,-2.49791
27.5423,-0.252683,-2.55672
28.1838,-0.253088,-2.61781
28.8403,-0.253571,-2.67876
29.5121,-0.253805,-2.74099
30.1995,-0.254736,-2.80497
30.903,-0.255021,-2.87125
31.6228,-0.255357,-2.93811
32.3594,-0.255929,-3.00668
33.1131,-0.256797,-3.07854
33.8844,-0.257726,-3.15034
34.6737,-0.258638,-3.22356
35.4813,-0.259216,-3.29829
36.3078,-0.259747,-3.37564
37.1535,-0.260748,-3.45615
38.0189,-0.261767,-3.53815
38.9045,-0.262937,-3.62082
39.8107,-0.263788,-3.70565
40.738,-0.264507,-3.78986
41.6869,-0.265783,-3.87908
42.658,-0.26692,-3.96799
43.6516,-0.267958,-4.05861
44.6684,-0.269332,-4.155
45.7088,-0.270722,-4.25203
46.7735,-0.271859,-4.34946
47.863,-0.273161,-4.45324
48.9779,-0.27486,-4.55605
50.1187,-0.276599,-4.66138
51.2861,-0.278171,-4.77016
52.4807,-0.280086,-4.88125
53.7032,-0.281494,-4.99379
54.9541,-0.282884,-5.11008
56.2341,-0.285129,-5.22919
57.544,-0.287153,-5.34869
58.8844,-0.28875,-5.47253
60.256,-0.291005,-5.59984
61.6595,-0.293373,-5.72862
63.0957,-0.295724,-5.86288
64.5654,-0.298333,-5.99587
66.0693,-0.300656,-6.13545
67.6083,-0.303418,-6.27757
69.1831,-0.305752,-6.42108
70.7946,-0.308887,-6.56951
72.4436,-0.312179,-6.71961
74.131,-0.315552,-6.87632
75.8578,-0.31898,-7.03308
77.6247,-0.322661,-7.19627
79.4328,-0.326229,-7.35979
81.2831,-0.329952,-7.53074
83.1764,-0.334121,-7.70249
85.1138,-0.338276,-7.88055
87.0964,-0.342476,-8.06014
89.1251,-0.347347,-8.24468
91.2011,-0.352016,-8.43169
93.3254,-0.357452,-8.62659
95.4993,-0.362383,-8.82268
97.7237,-0.367873,-9.02265
100,-0.373491,-9.23038
102.329,-0.379069,-9.43903
104.713,-0.385525,-9.65215
107.152,-0.392022,-9.87281
109.648,-0.39862,-10.0955
112.202,-0.405876,-10.3228
114.815,-0.413429,-10.5586
117.49,-0.421067,-10.7971
120.226,-0.429027,-11.0386
123.027,-0.4376,-11.2874
125.893,-0.446351,-11.543
128.825,-0.455075,-11.8035
131.826,-0.464281,-12.0668
134.896,-0.47416,-12.3351
138.038,-0.484869,-12.6098
141.254,-0.495661,-12.892
144.544,-0.507018,-13.1802
147.911,-0.518918,-13.4752
151.356,-0.531235,-13.7756
154.882,-0.543862,-14.0801
158.489,-0.556945,-14.3913
162.181,-0.570652,-14.7095
165.959,-0.585305,-15.0325
169.824,-0.600607,-15.3611
173.78,-0.616502,-15.697
177.828,-0.63293,-16.0368
181.97,-0.649979,-16.3826
186.209,-0.667101,-16.736
190.546,-0.68539,-17.0989
194.984,-0.704742,-17.4722
199.526,-0.725228,-17.848
204.174,-0.745779,-18.2258
208.93,-0.766884,-18.6162
213.796,-0.789762,-19.0154
218.776,-0.813541,-19.4145
223.872,-0.837392,-19.8268
229.087,-0.863335,-20.2425
234.423,-0.889086,-20.6666
239.883,-0.917218,-21.0981
245.471,-0.944983,-21.5358
251.189,-0.975252,-21.9796
257.04,-1.0058,-22.436
263.027,-1.03759,-22.8903
269.153,-1.07148,-23.3586
275.423,-1.10565,-23.8349
281.838,-1.14098,-24.3123
288.403,-1.17838,-24.7942
295.121,-1.21746,-25.2876
301.995,-1.25766,-25.7906
309.03,-1.29889,-26.3014
316.228,-1.34142,-26.8169
323.594,-1.38573,-27.3381
331.131,-1.43152,-27.8631
338.844,-1.47914,-28.3924
346.737,-1.52778,-28.9239
354.813,-1.57755,-29.4649
363.078,-1.629,-30.0197
371.535,-1.68353,-30.5776
380.189,-1.739,-31.1318
389.045,-1.79634,-31.7044
398.107,-1.85617,-32.2689
407.38,-1.91725,-32.8508
416.869,-1.97988,-33.4238
426.58,-2.046,-34.0125
436.516,-2.11233,-34.6062
446.684,-2.18071,-35.1931
457.088,-2.25201,-35.784
467.735,-2.32576,-36.3807
478.63,-2.4014,-36.9822
489.779,-2.47859,-37.5863
501.187,-2.55729,-38.1929
512.861,-2.63747,-38.8072
524.807,-2.72129,-39.4279
537.032,-2.8081,-40.0353
549.541,-2.89494,-40.65
562.341,-2.98635,-41.2668
575.44,-3.07715,-41.8837
588.844,-3.17215,-42.4918
602.56,-3.26938,-43.1118
616.595,-3.36754,-43.7341
630.957,-3.46751,-44.3519
645.654,-3.57003,-44.9668
660.693,-3.67525,-45.58
676.083,-3.78359,-46.1844
691.831,-3.89226,-46.7809
707.946,-4.00287,-47.3956
724.436,-4.11699,-47.9886
741.31,-4.23247,-48.598
758.578,-4.34866,-49.1897
776.247,-4.46838,-49.774
794.328,-4.59061,-50.3588
812.831,-4.71401,-50.9427
831.764,-4.8392,-51.5327
851.138,-4.96836,-52.1176
870.964,-5.09808,-52.675
891.251,-5.22953,-53.252
912.011,-5.36129,-53.8052
933.254,-5.49749,-54.3502
954.993,-5.6351,-54.8949
977.237,-5.77382,-55.433
1000,-5.91272,-55.9715
1023.29,-6.05471,-56.5173
1047.13,-6.19916,-57.0278
1071.52,-6.34557,-57.5566
1096.48,-6.49155,-58.0732
1122.02,-6.63909,-58.5774
1148.15,-6.78983,-59.0746
1174.9,-6.9418,-59.5449
1202.26,-7.09201,-60.0269
1230.27,-7.24715,-60.4864
1258.93,-7.40417,-60.9555
1288.25,-7.17592,-61.4433
1318.26,-7.13908,-61.9159
1348.96,-7.2029,-62.3893
1380.38,-7.31331,-62.815
1412.54,-7.4526,-63.2402
1445.44,-7.60405,-63.6625
1479.11,-7.75999,-64.0664
1513.56,-7.91979,-64.493
1548.82,-8.08276,-64.8758
1584.89,-8.24958,-65.2609
1621.81,-8.41658,-65.6344
1659.59,-8.58107,-66.0136
1698.24,-8.75134,-66.3722
1737.8,-8.92302,-66.7396
1778.28,-9.09414,-67.0855
1819.7,-9.26184,-67.4254
1862.09,-9.43617,-67.7708
1905.46,-9.60804,-68.1172
1949.84,-9.78257,-68.436
1995.26,-9.95357,-68.7276
2041.74,-10.1299,-69.0427
2089.3,-10.302,-69.3221
2137.96,-10.4748,-69.6325
2187.76,-10.6506,-69.8951
2238.72,-10.8292,-70.1616
2290.87,-11.0036,-70.4312
2344.23,-11.185,-70.7042
2398.83,-11.3635,-70.9792
2454.71,-11.5428,-71.215
2511.89,-11.7171,-71.4712
2570.4,-11.893,-71.703
2630.27,-12.0739,-71.9451
2691.53,-12.2503,-72.1545
2754.23,-12.4326,-72.3799
2818.38,-12.6116,-72.5536
2884.03,-12.9077,-72.762
2951.21,-13.1446,-72.9435
3019.95,-13.3553,-73.1384
3090.3,-13.5494,-73.3132
3162.28,-13.7373,-73.5067
3235.94,-13.9226,-73.6801
