RIGOL Bode Data
Para Set
StartFreq:,100.000000Hz
StopFreq:,100000.000000Hz
Freq(Hz),Gain(dB),Phase(°)
100,-4.24591,179.933
109.648,-3.98798,179.879
120.226,-3.97417,179.841
131.826,-3.98165,179.888
144.544,-3.9701,179.896
158.489,-3.97112,-179.851
173.78,-3.91748,-179.826
190.546,-3.94462,-179.854
208.93,-3.97038,179.92
229.087,-3.94457,179.959
251.189,-3.94333,-179.972
275.423,-3.95802,-179.912
301.995,-4.02482,-179.629
331.131,-3.98455,-179.759
363.078,-3.97324,179.873
398.107,-3.94967,179.911
436.516,-3.95091,-179.954
478.63,-3.93505,179.949
524.807,-3.94224,-179.952
575.44,-3.94279,179.898
630.957,-3.94288,179.901
691.831,-3.92829,179.9
758.578,-3.91821,179.854
831.764,-3.90526,179.841
912.011,-3.88959,179.882
1000,-3.87915,179.897
1096.48,-3.86433,179.832
1202.26,-3.84825,179.847
1318.26,-3.84222,179.835
1445.44,-3.81164,179.749
1584.89,-3.78318,179.7
1737.8,-3.7428,179.748
1905.46,-3.70693,179.766
2089.3,-3.65528,179.723
2290.87,-3.59833,179.654
2511.89,-3.50385,179.601
2754.23,-3.40085,179.485
3019.95,-3.29084,179.286
3311.31,-3.15178,179.213
3630.78,-2.97262,179.057
3981.07,-2.77045,178.806
4365.16,-2.51017,178.566
4786.3,-2.20534,178.253
5248.07,-1.81546,177.792
5754.4,-1.3223,177.226
6309.57,-0.684295,176.33
6918.31,0.82174,175.15
7585.78,1.58805,173.233
8317.64,2.34056,166.825
9120.11,3.66781,88.327
10000,3.64267,51.0849
10964.8,2.28118,31.5094
12022.6,-1.22713,23.7323
13182.6,-0.984938,20.1141
14454.4,-1.61728,20.9588
15848.9,-3.38589,20.2545
17378,-5.49681,19.2077
19054.6,-7.65777,18.2741
20893,-9.75103,17.573
22908.7,-11.739,17.0739
25118.9,-13.6176,16.7517
27542.3,-15.3926,16.7688
30199.5,-17.06,16.8251
33113.1,-18.6633,16.9287
36307.8,-20.195,17.2397
39810.7,-21.6062,17.552
43651.6,-22.9644,18.1686
47863,-24.2644,18.4385
52480.7,-25.4773,18.8546
57544,-26.5802,19.5115
63095.7,-27.6316,20.0309
69183.1,-28.5324,20.9094
75857.8,-29.3807,21.9443
83176.4,-30.1837,22.4449
91201.1,-30.8602,22.3839
100000,-31.4069,22.5086
