RIGOL Bode Data
Para Set
StartFreq:,1000.000000Hz
StopFreq:,30000000.000000Hz
Freq(Hz),Gain(dB),Phase(°)
1000,-17.6256,175.797
1096.48,-17.373,175.792
1202.26,-17.3973,175.828
1318.26,-17.4549,175.781
1445.44,-17.3431,175.679
1584.89,-17.3308,175.658
1737.8,-17.3408,175.67
1905.46,-17.3948,176.218
2089.3,-17.4352,176.759
2290.87,-17.4582,177.221
2511.89,-17.4843,177.55
2754.23,-17.5299,177.883
3019.95,-17.5706,178.434
3311.31,-17.6191,178.834
3630.78,-17.6453,179.363
3981.07,-17.6687,-179.329
4365.16,-17.6902,-178.95
4786.3,-17.7134,-178.417
5248.07,-17.7188,-177.907
5754.4,-17.726,-177.228
6309.57,-17.709,-176.35
6918.31,-17.6899,-175.599
7585.78,-17.6603,-174.641
8317.64,-17.6194,-173.802
9120.11,-17.5806,-172.773
10000,-17.5108,-171.758
10964.8,-17.429,-170.72
12022.6,-17.3166,-169.671
13182.6,-17.2071,-168.5
14454.4,-17.0731,-167.362
15848.9,-16.9204,-166.239
17378,-16.7517,-165.179
19054.6,-16.554,-164.2
20893,-16.3189,-163.2
22908.7,-16.0597,-162.339
25118.9,-15.7935,-161.596
27542.3,-15.4975,-161.099
30199.5,-15.1757,-160.668
33113.1,-14.8487,-160.429
36307.8,-14.5138,-160.493
39810.7,-14.1569,-160.731
43651.6,-13.8005,-161.29
47863,-13.4587,-162.019
52480.7,-13.1118,-162.996
57544,-12.7785,-164.224
63095.7,-12.4557,-165.71
69183.1,-12.1594,-167.423
75857.8,-11.8767,-169.331
83176.4,-11.6067,-171.465
91201.1,-11.3643,-173.796
100000,-11.1542,-176.237
109648,-10.9551,177.42
120226,-10.7818,176.539
131826,-10.6174,174.589
144544,-10.4827,171.983
158489,-10.3661,169.048
173780,-10.2601,165.824
190546,-10.1702,162.465
208930,-10.0907,158.851
229087,-10.0141,155.101
251189,-9.94795,151.1
275423,-9.8936,146.928
301995,-9.84094,142.555
331131,-9.78182,137.947
363078,-9.72182,133.099
398107,-9.66137,128.027
436516,-9.59458,122.622
478630,-9.52747,116.922
524807,-9.45148,110.899
575440,-9.38093,104.501
630957,-9.31853,97.6482
691831,-9.2812,90.352
758578,-9.28548,82.5764
831764,-9.3409,74.3397
912011,-9.47188,65.1721
1e+06,-9.8747,54.7974
1.09648e+06,-10.8232,42.1408
1.20226e+06,-16.0321,-28.484
1.31826e+06,8.5637,77.3767
1.44544e+06,4.7307,87.63
1.58489e+06,2.53175,81.014
1.7378e+06,-1.42239,65.2993
1.90546e+06,-1.68333,42.504
2.0893e+06,-3.77289,22.27
2.29087e+06,-5.7487,13.7247
2.51189e+06,-7.06631,7.54608
2.75423e+06,-8.58587,-8.19985
3.01995e+06,-9.80812,-9.41126
3.31131e+06,-11.4254,-9.40503
3.63078e+06,-12.8943,6.53453
3.98107e+06,-12.8612,10.6006
4.36516e+06,-12.0418,11.1862
4.7863e+06,-11.4189,8.16339
5.24807e+06,-10.9415,-4.7562
5.7544e+06,-10.6375,-6.03862
6.30957e+06,-10.4471,-9.67991
6.91831e+06,-10.3045,-14.8973
7.58578e+06,-10.2226,-23.0487
8.31764e+06,-11.187,-33.6476
9.12011e+06,-12.5559,-36.4668
1e+07,-13.5183,-37.181
1.09648e+07,-14.2821,-37.4273
1.20226e+07,-14.9262,-37.1588
1.31826e+07,-15.5085,-36.0135
1.44544e+07,-16.3098,-36.3073
1.58489e+07,-16.6809,-31.9399
1.7378e+07,-16.559,-27.8929
1.90546e+07,-15.9952,-25.8974
2.0893e+07,-15.6986,-26.5234
2.29087e+07,-14.8152,-28.819
2.51189e+07,-13.7583,-43.5634
2.75423e+07,-13.1608,-84.5599
3e+07,-18.735,-52.532
