RIGOL Bode Data
Para Set
StartFreq:,1000.000000Hz
StopFreq:,32000.000000Hz
Freq(Hz),Gain(dB),Phase(°)
1000,-3.8002,176.887
1039.12,-3.79934,176.968
1079.78,-3.80152,176.865
1122.02,-3.8118,176.715
1165.91,-3.82228,176.573
1211.53,-3.81119,176.489
1258.93,-3.80937,176.406
1308.18,-3.80516,176.192
1359.36,-3.80077,175.994
1412.54,-3.8104,175.94
1467.8,-3.80867,175.825
1525.22,-3.81827,175.626
1584.89,-3.82144,175.483
1646.9,-3.82242,175.296
1711.33,-3.80793,175.09
1778.28,-3.81149,174.846
1847.85,-3.80957,174.645
1920.14,-3.79719,174.501
1995.26,-3.80665,174.256
2073.32,-3.8107,174.081
2154.43,-3.81001,173.931
2238.72,-3.80925,173.738
2326.31,-3.81149,173.466
2417.32,-3.81154,173.203
2511.89,-3.80479,172.973
2610.16,-3.80371,172.688
2712.27,-3.80524,172.395
2818.38,-3.79917,172.051
2928.64,-3.79757,171.75
3043.22,-3.79021,171.468
3162.28,-3.78904,171.107
3285.99,-3.77226,170.716
3414.55,-3.76364,170.345
3548.13,-3.76689,170.01
3686.95,-3.76533,169.596
3831.19,-3.75576,169.25
3981.07,-3.75191,168.843
4136.82,-3.73689,168.423
4298.66,-3.73488,167.912
4466.84,-3.72467,167.374
4641.59,-3.70796,166.937
4823.18,-3.69674,166.352
5011.87,-3.69343,165.862
5207.95,-3.67147,165.332
5411.7,-3.66026,164.776
5623.41,-3.65226,164.151
5843.41,-3.64244,163.482
6072.02,-3.62925,162.791
6309.57,-3.61201,162.044
6556.42,-3.59056,161.311
6812.92,-3.55897,160.487
7079.46,-3.54555,159.627
7356.42,-3.51976,158.669
7644.22,-3.5015,157.754
7943.28,-3.46527,156.742
8254.04,-3.43832,155.707
8576.96,-3.40817,154.552
8912.51,-3.38029,153.3
9261.19,-3.3512,151.996
9623.51,-3.33613,150.63
10000,-3.3021,149.181
10391.2,-3.27579,147.607
10797.8,-3.2542,146.043
11220.2,-3.22992,144.338
11659.1,-3.21994,142.491
12115.3,-3.20248,140.559
12589.3,-3.18706,138.448
13081.8,-3.18466,136.252
13593.6,-3.2003,133.949
14125.4,-3.21992,131.461
14678,-3.24977,128.819
15252.2,-3.66177,125.991
15848.9,-3.89932,122.924
16469,-4.09239,119.904
17113.3,-4.2524,116.811
17782.8,-4.40699,113.422
18478.5,-4.61032,110.126
19201.4,-4.82234,106.73
19952.6,-5.07625,103.122
20733.2,-5.09909,99.4615
21544.3,-5.26578,96.2213
22387.2,-5.64516,92.6348
23263.1,-5.98864,88.4204
24173.2,-6.1589,85.4088
25118.9,-6.76062,82.9494
26101.6,-7.24121,79.9864
27122.7,-7.74314,76.6912
28183.8,-8.5573,73.6378
29286.4,-9.27752,70.9522
30432.2,-9.88518,68.4857
31622.8,-10.5216,66.2478
32000,-10.6359,64.6375
