RIGOL Bode Data
Para Set
StartFreq:,1000.000000Hz
StopFreq:,5000000.000000Hz
Freq(Hz),Gain(dB),Phase(°)
1000,23.3833,0.0101166
1096.48,23.3848,0.0480851
1202.26,23.387,-0.0320765
1318.26,23.3903,0.0434025
1445.44,23.3749,0.0329676
1584.89,23.3681,0.0213899
1737.8,23.3664,-0.0111763
1905.46,23.3654,-0.0134466
2089.3,23.3652,-0.0175236
2290.87,23.3664,-0.025605
2511.89,23.3669,-0.028082
2754.23,23.3675,-0.0377862
3019.95,23.3691,-0.0462845
3311.31,23.3723,-0.0577814
3630.78,23.3745,-0.0690336
3981.07,23.376,-0.0888187
4365.16,23.3782,-0.106298
4786.3,23.3817,-0.126346
5248.07,23.3841,-0.152679
5754.4,23.3874,-0.183519
6309.57,23.3911,-0.215049
6918.31,23.3958,-0.25823
7585.78,23.4007,-0.300663
8317.64,23.4074,-0.348613
9120.11,23.4138,-0.415981
10000,23.4206,-0.491942
10964.8,23.4298,-0.578601
12022.6,23.4379,-0.684536
13182.6,23.445,-0.79892
14454.4,23.4539,-0.940335
15848.9,23.4606,-1.10249
17378,23.4671,-1.28606
19054.6,23.4733,-1.48403
20893,23.4781,-1.69572
22908.7,23.4808,-1.93234
25118.9,23.4825,-2.19528
27542.3,23.4832,-2.47129
30199.5,23.4835,-2.7797
33113.1,23.4825,-3.0958
36307.8,23.4788,-3.44134
39810.7,23.4746,-3.8081
43651.6,23.4704,-4.19951
47863,23.4648,-4.62451
52480.7,23.4597,-5.08245
57544,23.454,-5.59739
63095.7,23.4483,-6.13644
69183.1,23.4405,-6.71524
75857.8,23.4342,-7.35122
83176.4,23.4251,-8.05118
91201.1,23.4163,-8.80779
100000,23.4065,-9.64124
109648,23.3938,-10.5468
120226,23.3802,-11.5472
131826,23.3646,-12.6576
144544,23.3441,-13.8427
158489,23.3261,-15.146
173780,23.3055,-16.5361
190546,23.277,-18.107
208930,23.2434,-19.8461
229087,23.2078,-21.7438
251189,23.1594,-23.7908
275423,23.102,-26.0308
301995,23.0334,-28.4483
331131,22.9576,-31.1056
363078,22.8656,-34.0138
398107,22.7574,-37.162
436516,22.6271,-40.5932
478630,22.4757,-44.3289
524807,22.2956,-48.3677
575440,22.0826,-52.717
630957,21.8394,-57.3912
691831,21.5607,-62.3878
758578,21.22,-67.7757
831764,20.8538,-73.0285
912011,20.7309,-78.1649
1e+06,20.796,-85.3388
1.09648e+06,20.9316,-96.1261
1.20226e+06,20.68,-108.184
1.31826e+06,20.0601,-122.301
1.44544e+06,19.0008,-137.604
1.58489e+06,17.9744,-150.437
1.7378e+06,16.5693,-161.007
1.90546e+06,14.9398,-169.893
2.0893e+06,13.1767,173.588
2.29087e+06,11.7152,173.065
2.51189e+06,10.3513,168.845
2.75423e+06,9.00995,162.766
3.01995e+06,7.73603,155.781
3.31131e+06,6.61453,146.503
3.63078e+06,5.37861,133.555
3.98107e+06,3.67167,118.672
4.36516e+06,-2.02596,103.219
4.7863e+06,-2.564,88.4461
5e+06,-3.52764,78.0603
