RIGOL Bode Data
Para Set
StartFreq:,10.000000Hz
StopFreq:,1000000.000000Hz
Freq(Hz),Gain(dB),Phase(°)
10,19.2848,-24.6801
10.9648,19.141,-26.7349
12.0226,19.0565,-27.8245
13.1826,18.9135,-29.5124
14.4544,18.7303,-31.5238
15.8489,18.5086,-33.784
17.378,18.2505,-36.1734
19.0546,17.9567,-38.6745
20.893,17.6276,-41.2224
22.9087,17.2641,-43.8333
25.1189,16.8641,-46.4046
27.5423,16.4253,-48.9937
30.1995,15.9546,-51.5604
33.1131,15.451,-54.0424
36.3078,14.9109,-56.4536
39.8107,14.3414,-58.773
43.6516,13.7462,-60.9951
47.863,13.1236,-63.1303
52.4807,12.4703,-65.1412
57.544,11.8092,-67.0415
63.0957,11.1143,-68.7837
69.1831,10.4192,-70.451
75.8578,9.71269,-71.9544
83.1764,8.99069,-73.3755
91.2011,8.25102,-74.706
100,7.64862,-75.9216
109.648,6.97006,-77.0531
120.226,6.25168,-78.0902
131.826,5.50096,-79.0186
144.544,4.74691,-79.8393
158.489,3.97944,-80.5777
173.78,3.20866,-81.29
190.546,2.4266,-81.8935
208.93,1.65182,-82.4537
229.087,0.860909,-83.0239
251.189,-0.782081,-83.4605
275.423,-1.13847,-83.951
301.995,-1.69989,-84.2734
331.131,-2.36949,-84.6654
363.078,-3.09749,-84.9982
398.107,-3.86891,-85.1854
436.516,-4.76473,-85.4798
478.63,-5.6006,-85.69
524.807,-6.40873,-85.8583
575.44,-7.20452,-85.9939
630.957,-8.00726,-86.1604
691.831,-8.79943,-86.2064
758.578,-9.59784,-86.419
831.764,-10.3975,-86.4778
912.011,-11.1845,-86.4562
1000,-11.9601,-86.578
1096.48,-12.7372,-86.5742
1202.26,-13.5193,-86.5971
1318.26,-14.2966,-86.5402
1445.44,-15.08,-86.4566
1584.89,-15.8677,-86.403
1737.8,-16.6367,-86.3388
1905.46,-17.4166,-86.1923
2089.3,-18.3063,-86.0459
2290.87,-19.1415,-86.0055
2511.89,-19.9387,-85.8183
2754.23,-20.7404,-85.6379
3019.95,-21.5065,-85.461
3311.31,-22.2758,-85.3469
3630.78,-23.0352,-85.1487
3981.07,-23.8208,-84.9006
4365.16,-24.5845,-84.7472
4786.3,-25.3263,-84.5275
5248.07,-26.0804,-84.3089
5754.4,-26.8459,-84.0448
6309.57,-27.5726,-83.6174
6918.31,-28.3083,-83.1747
7585.78,-29.0823,-82.6795
8317.64,-29.8216,-82.5986
9120.11,-30.5938,-82.1246
10000,-31.3082,-81.9708
10964.8,-32.0475,-81.688
12022.6,-32.7393,-81.2564
13182.6,-33.4584,-80.9587
14454.4,-34.142,-80.3692
15848.9,-34.9266,-79.6057
17378,-35.6076,-78.7407
19054.6,-36.3657,-78.4407
20893,-36.9771,-77.7132
22908.7,-37.6282,-77.0094
25118.9,-38.3655,-77.2405
27542.3,-39.0781,-76.148
30199.5,-39.7984,-75.6236
33113.1,-40.4747,-75.5668
36307.8,-40.9975,-75.1513
39810.7,-41.7183,-74.4478
43651.6,-42.3379,-72.0902
47863,-42.9795,-69.8926
52480.7,-43.6872,-67.8154
57544,-44.1542,-66.404
63095.7,-44.6704,-63.8777
69183.1,-45.1839,-57.5736
75857.8,-45.6171,-52.9032
83176.4,-45.8728,-44.0591
91201.1,-45.5104,-34.6493
100000,-45.6081,-29.7535
109648,-44.3798,-26.6993
120226,-43.1616,-22.3661
131826,-42.1259,-18.4009
144544,-40.3838,-14.7107
158489,-38.7431,-11.8625
173780,-36.8237,-10.4748
190546,-34.6559,-9.2191
208930,-32.7317,-10.7184
229087,-30.6142,-12.7873
251189,-28.5369,-15.8098
275423,-26.3925,-19.6782
301995,-24.3181,-24.876
331131,-22.2843,-30.9974
363078,-20.26,-38.3913
398107,-18.5124,-47.3318
436516,-16.451,-56.711
478630,-14.5424,-68.1849
524807,-12.7777,-79.7135
575440,6.8875,123.657
630957,5.35811,126.58
691831,5.88269,111.973
758578,7.81506,85.7007
831764,9.19647,52.5664
912011,9.90237,-31.0735
1e+06,9.82059,-23.2853
