RIGOL Bode Data
Para Set
StartFreq:,100.000000Hz
StopFreq:,10000000.000000Hz
Freq(Hz),Gain(dB),Phase(°)
100,19.8732,-179.096
102.329,19.8756,-179.2
104.713,19.8799,-179.179
107.152,19.8764,-179.168
109.648,19.8758,-179.209
112.202,19.8801,-179.217
114.815,19.8775,-179.205
117.49,19.8743,-179.24
120.226,19.8775,-179.275
123.027,19.8813,-179.273
125.893,19.8793,-179.264
128.825,19.8751,-179.286
131.826,19.8748,-179.327
134.896,19.8779,-179.355
138.038,19.8813,-179.359
141.254,19.8828,-179.352
144.544,19.882,-179.344
147.911,19.8799,-179.345
151.356,19.8777,-179.353
154.882,19.876,-179.368
158.489,19.8742,-179.381
162.181,19.8735,-179.393
165.959,19.8739,-179.401
169.824,19.8749,-179.407
173.78,19.8774,-179.415
177.828,19.8805,-179.431
181.97,19.8826,-179.46
186.209,19.8825,-179.498
190.546,19.8784,-179.519
194.984,19.8752,-179.509
199.526,19.8775,-179.493
204.174,19.8812,-179.519
208.93,19.8775,-179.546
213.796,19.8764,-179.522
218.776,19.881,-179.544
223.872,19.8771,-179.561
229.087,19.8803,-179.545
234.423,19.8783,-179.58
239.883,19.8806,-179.558
245.471,19.8776,-179.588
251.189,19.8813,-179.578
257.04,19.8768,-179.586
263.027,19.8801,-179.612
269.153,19.8806,-179.588
275.423,19.8762,-179.594
281.838,19.8766,-179.628
288.403,19.8809,-179.632
295.121,19.8826,-179.614
301.995,19.881,-179.597
309.03,19.8783,-179.594
316.228,19.8769,-179.595
323.594,19.8763,-179.597
331.131,19.8773,-179.597
338.844,19.88,-179.601
346.737,19.8832,-179.621
354.813,19.8833,-179.656
363.078,19.8784,-179.666
371.535,19.8786,-179.637
380.189,19.8822,-179.661
389.045,19.8774,-179.66
398.107,19.8821,-179.659
407.38,19.8777,-179.661
416.869,19.8819,-179.675
426.58,19.8809,-179.649
436.516,19.8776,-179.665
446.684,19.8797,-179.691
457.088,19.8838,-179.688
467.735,19.886,-179.671
478.63,19.8869,-179.661
489.779,19.8878,-179.66
501.187,19.8884,-179.675
512.861,19.8857,-179.697
524.807,19.8806,-179.685
537.032,19.8838,-179.66
549.541,19.8839,-179.69
562.341,19.8838,-179.659
575.44,19.8829,-179.688
588.844,19.8875,-179.675
602.56,19.8853,-179.652
616.595,19.8825,-179.66
630.957,19.8814,-179.674
645.654,19.881,-179.68
660.693,19.8812,-179.668
676.083,19.8852,-179.646
691.831,19.89,-179.668
707.946,19.8862,-179.675
724.436,19.8915,-179.671
741.31,19.8879,-179.656
758.578,19.8884,-179.683
776.247,19.8924,-179.687
794.328,19.8955,-179.677
812.831,19.8973,-179.679
831.764,19.8956,-179.692
851.138,19.8912,-179.673
870.964,19.8955,-179.654
891.251,19.8921,-179.663
912.011,19.8931,-179.682
933.254,19.8981,-179.68
954.993,19.9017,-179.666
977.237,19.9037,-179.664
1000,19.9023,-179.681
1023.29,19.8987,-179.651
1047.13,19.9027,-179.667
1071.52,19.9031,-179.636
1096.48,19.8999,-179.634
1122.02,19.8988,-179.64
1148.15,19.8989,-179.63
1174.9,19.9055,-179.627
1202.26,19.9045,-179.658
1230.27,19.9096,-179.648
1258.93,19.9094,-179.626
1288.25,19.9104,-179.615
1318.26,19.9143,-179.639
1348.96,19.9102,-179.657
1380.38,19.9152,-179.656
1412.54,19.9155,-179.631
1445.44,19.9152,-179.618
1479.11,19.9189,-179.62
1513.56,19.9177,-179.659
1548.82,19.9212,-179.641
1584.89,19.9198,-179.628
1621.81,19.9221,-179.622
1659.59,19.926,-179.653
1698.24,19.9229,-179.64
1737.8,19.9214,-179.662
1778.28,19.922,-179.648
1819.7,19.9281,-179.647
1862.09,19.9256,-179.668
1905.46,19.9285,-179.696
1949.84,19.9283,-179.707
1995.26,19.9307,-179.672
2041.74,19.9293,-179.673
2089.3,19.9291,-179.686
2137.96,19.9311,-179.67
2187.76,19.9352,-179.706
2238.72,19.94,-179.717
2290.87,19.9386,-179.732
2344.23,19.9422,-179.705
