RIGOL Bode Data
Para Set
StartFreq:,1000.000000Hz
StopFreq:,10000000.000000Hz
Freq(Hz),Gain(dB),Phase(°)
1000,20.6055,0.237182
1047.13,20.6089,0.261104
1096.48,20.6072,0.24696
1148.15,20.6065,0.242168
1202.26,20.6093,0.234466
1258.93,20.6093,0.249514
1318.26,20.6115,0.257843
1380.38,20.6127,0.257314
1445.44,20.6138,0.241098
1513.56,20.619,0.23102
1584.89,20.6189,0.223787
1659.59,20.6229,0.228276
1737.8,20.6256,0.207288
1819.7,20.6249,0.196582
1905.46,20.6277,0.205164
1995.26,20.6296,0.178483
2089.3,20.6329,0.181966
2187.76,20.634,0.180505
2290.87,20.6362,0.175596
2398.83,20.6378,0.139403
2511.89,20.6411,0.136947
2630.27,20.6417,0.108321
2754.23,20.6455,0.0986375
2884.03,20.6464,0.0973745
3019.95,20.648,0.0872038
3162.28,20.6481,0.074642
3311.31,20.6488,-0.0403324
3467.37,20.6499,0.0338018
3630.78,20.652,-0.0375271
3801.89,20.6532,-0.0263592
3981.07,20.6524,-0.0382032
4168.69,20.6543,-0.0462436
4365.16,20.6564,-0.0608136
4570.88,20.6569,-0.0778547
4786.3,20.6555,-0.116311
5011.87,20.6587,-0.144061
5248.07,20.6606,-0.171493
5495.41,20.6584,-0.187615
5754.4,20.6611,-0.216936
6025.6,20.6607,-0.230545
6309.57,20.6623,-0.269214
6606.93,20.6634,-0.298151
6918.31,20.6603,-0.321105
7244.36,20.6591,-0.347548
7585.78,20.6583,-0.375873
7943.28,20.6598,-0.427246
8317.64,20.6611,-0.467946
8709.64,20.66,-0.483037
9120.11,20.6583,-0.507136
9549.93,20.6588,-0.540311
10000,20.6597,-0.589738
10471.3,20.6567,-0.611896
10964.8,20.657,-0.643196
11481.5,20.6542,-0.680971
12022.6,20.6517,-0.741343
12589.3,20.649,-0.778966
13182.6,20.6487,-0.830801
13803.8,20.6479,-0.876264
14454.4,20.6489,-0.905714
15135.6,20.6449,-0.938656
15848.9,20.6459,-0.977132
16595.9,20.6426,-1.01308
17378,20.6406,-1.08145
18197,20.6394,-1.11102
19054.6,20.6373,-1.15381
19952.6,20.6361,-1.22427
20893,20.6378,-1.26891
21877.6,20.6363,-1.3212
22908.7,20.6359,-1.36771
23988.3,20.6349,-1.42748
25118.9,20.6369,-1.51435
26302.7,20.6361,-1.59496
27542.3,20.6347,-1.67606
28840.3,20.6368,-1.73991
30199.5,20.6338,-1.82754
31622.8,20.6345,-1.92841
33113.1,20.6334,-2.0257
34673.7,20.6364,-2.12492
36307.8,20.6346,-2.23231
38018.9,20.6343,-2.37324
39810.7,20.6332,-2.5007
41686.9,20.6358,-2.63679
43651.6,20.6337,-2.81323
45708.8,20.6345,-2.97349
47863,20.6336,-3.16477
50118.7,20.6303,-3.40167
52480.7,20.6289,-3.6613
54954.1,20.6252,-3.93973
57544,20.621,-4.24386
60256,20.6142,-4.63903
63095.7,20.6019,-5.1026
66069.3,20.5848,-5.69514
69183.1,20.5547,-6.42653
72443.6,20.5078,-7.38315
75857.8,20.4303,-8.60202
79432.8,20.3222,-10.0838
83176.4,20.1783,-11.8571
87096.4,20.0002,-13.8854
91201.1,19.7857,-16.1332
95499.3,19.5413,-18.5903
100000,19.2663,-21.302
104713,18.6075,-24.3446
109648,18.1018,-27.4639
114815,17.6699,-30.5991
120226,17.2657,-33.6838
125893,16.8763,-36.7529
131826,16.4908,-39.7046
138038,16.1029,-42.5452
144544,15.718,-45.226
151356,15.3306,-47.7538
158489,14.942,-50.1319
165959,14.5552,-52.3787
173780,14.1618,-54.5464
181970,13.7676,-56.6118
190546,13.3727,-58.5693
199526,12.9784,-60.3893
208930,12.4233,-61.9288
218776,11.9477,-63.5027
229087,11.5131,-65.0393
239883,11.0937,-66.5703
251189,10.6864,-68.0208
263027,10.2848,-69.4501
275423,9.88522,-70.8124
288403,9.48219,-72.1374
301995,9.08183,-73.3806
316228,8.67976,-74.6351
331131,8.27745,-75.8143
346737,7.8763,-76.9789
363078,7.46869,-78.1272
380189,7.07337,-79.2186
398107,6.67418,-80.3045
416869,6.27338,-81.3376
436516,5.86657,-82.3644
457088,5.45023,-83.3676
478630,5.03734,-84.3895
501187,4.61387,-85.4403
524807,4.46207,-86.3762
549541,4.18042,-87.2948
575440,3.83181,-88.2226
602560,3.44634,-89.1481
630957,3.03516,-90.019
660693,2.61446,-90.877
691831,2.18549,-91.7454
724436,1.76055,-92.6349
758578,1.33369,-93.4778
794328,0.917537,-94.282
831764,0.50585,-95.1247
870964,-0.412105,-95.9792
912011,-0.580763,-96.8708
954993,-0.889747,-97.7472
1e+06,-1.2761,-98.5752
1.04713e+06,-1.68863,-99.4645
1.09648e+06,-2.11451,-100.274
1.14815e+06,-2.53896,-101.161
1.20226e+06,-2.9715,-101.982
1.25893e+06,-3.418,-102.807
1.31826e+06,-3.86725,-103.632
1.38038e+06,-4.31784,-104.499
1.44544e+06,-4.77431,-105.376
1.51356e+06,-5.22458,-106.257
