RIGOL Bode Data,,
Para Set,,
StartFreq:,0.100000Hz,
StopFreq:,100000.000000Hz,
Freq(Hz),Gain(dB),Phase(°)
0.1,-8.82,-3
3,-8.86,-7
5,-9.04,-16.5
7,-9.18,-18.9
9,-9.16,-19.1
10,-9.1125,-19.2957
11.6591,-9.3281,-22.2967
13.5936,-9.44561,-23.9269
15.8489,-9.63988,-26.4096
18.4785,-9.90235,-29.624
21.5443,-10.2592,-33.3767
25.1189,-10.7083,-37.3224
29.2864,-11.2585,-41.5062
34.1455,-11.8865,-45.518
39.8107,-12.5982,-49.7603
46.4159,-13.4684,-53.8397
54.117,-14.3607,-57.8997
63.0957,-15.2797,-60.7644
73.5642,-16.4286,-64.4513
85.7696,-17.5533,-67.6892
100,-18.7278,-70.4571
116.591,-19.9244,-72.9334
135.936,-21.1573,-75.0313
158.489,-22.4017,-76.9057
184.785,-23.6798,-78.4758
215.443,-24.9681,-79.9018
251.189,-26.2623,-81.1301
292.864,-27.5668,-82.2556
341.455,-28.8528,-83.0198
398.107,-30.1515,-83.7702
464.159,-31.6094,-84.3621
541.17,-32.9925,-84.8027
630.957,-34.3543,-85.2631
735.642,-35.7106,-85.6122
857.696,-37.0586,-85.8226
1000,-38.4075,-86.0178
1165.91,-39.3696,-86.1526
1359.36,-40.5126,-86.2099
1584.89,-41.7459,-86.1298
1847.85,-43.0237,-85.9632
2154.43,-44.3298,-85.7367
2511.89,-45.6289,-85.4196
2928.64,-46.9279,-84.9582
3414.55,-48.2321,-84.4852
3981.07,-49.5268,-83.8947
4641.59,-50.8049,-83.2307
5411.7,-50.5682,-82.5721
6309.57,-50.2891,-81.9422
7356.42,-53.473,-80.8915
8576.96,-55.6893,-79.7964
10000,-57.4228,-78.6733
11659.1,-58.8959,-77.4018
13593.6,-60.2416,-76.0553
15848.9,-61.5068,-74.5179
18478.5,-62.7181,-72.8635
21544.3,-63.8938,-71.0497
25118.9,-65.0367,-69.1593
29286.4,-66.158,-67.1165
34145.5,-67.279,-65.0407
39810.7,-68.3934,-62.7052
46415.9,-69.5749,-60.4157
54117,-70.77,-57.675
63095.7,-72.1228,-54.7899
73564.2,-73.6549,-52.077
85769.6,-75.5006,-47.5297
100000,-77.4761,-42.7712
