Timestamp_Unix,Time_Elapsed_s,Primary_Temp_C,Secondary_Temp_C,Setpoint_C,Duty_Cycle_Pct,Control_Mode,KP,KI,KD
1774254644.2206516,0.096,-9999.000000,24.441402,26.0,44.8833,LOW,0.2,0.005,0.0
1774254644.2826874,0.158,-9999.000000,24.436688,26.0,45.0261,LOW,0.2,0.005,0.0
1774254644.3469303,0.222,-9999.000000,24.430793,26.0,45.1944,LOW,0.2,0.005,0.0
1774254644.410381,0.286,-9999.000000,24.428046,26.0,45.2992,LOW,0.2,0.005,0.0
1774254644.4730115,0.349,-9999.000000,24.429222,26.0,45.3249,LOW,0.2,0.005,0.0
1774254644.5354593,0.411,-9999.000000,24.428046,26.0,45.3975,LOW,0.2,0.005,0.0
1774254644.5976093,0.473,-9999.000000,24.420580,26.0,45.5959,LOW,0.2,0.005,0.0
1774254644.6601777,0.536,-9999.000000,24.415867,26.0,45.7397,LOW,0.2,0.005,0.0
1774254644.7255473,0.601,-9999.000000,24.417046,26.0,45.7678,LOW,0.2,0.005,0.0
1774254644.7880719,0.664,-9999.000000,24.415867,26.0,45.8410,LOW,0.2,0.005,0.0
1774254644.8521712,0.728,-9999.000000,24.413512,26.0,45.9389,LOW,0.2,0.005,0.0
1774254644.9169636,0.793,-9999.000000,24.409191,26.0,46.0768,LOW,0.2,0.005,0.0
1774254644.9801786,0.856,-9999.000000,24.402513,26.0,46.2609,LOW,0.2,0.005,0.0
1774254645.0437543,0.919,-9999.000000,24.399763,26.0,46.3668,LOW,0.2,0.005,0.0
1774254645.0965364,0.972,-9999.000000,24.397408,26.0,46.4562,LOW,0.2,0.005,0.0
1774254645.1703882,1.046,-9999.000000,24.399763,26.0,46.4682,LOW,0.2,0.005,0.0
1774254645.2205467,1.096,-9999.000000,24.399371,26.0,46.5161,LOW,0.2,0.005,0.0
1774254645.295211,1.171,-9999.000000,24.389552,26.0,46.7726,LOW,0.2,0.005,0.0
1774254645.35937,1.235,-9999.000000,24.388768,26.0,46.8400,LOW,0.2,0.005,0.0
1774254645.4221158,1.298,-9999.000000,24.390338,26.0,46.8591,LOW,0.2,0.005,0.0
1774254645.4864697,1.362,-9999.000000,24.387197,26.0,46.9738,LOW,0.2,0.005,0.0
1774254645.5504136,1.426,-9999.000000,24.382877,26.0,47.1119,LOW,0.2,0.005,0.0
1774254645.6123643,1.488,-9999.000000,24.376591,26.0,47.2879,LOW,0.2,0.005,0.0
1774254645.6767774,1.552,-9999.000000,24.375021,26.0,47.3717,LOW,0.2,0.005,0.0
1774254645.739795,1.615,-9999.000000,24.374629,26.0,47.4307,LOW,0.2,0.005,0.0
1774254645.802281,1.678,-9999.000000,24.374629,26.0,47.4815,LOW,0.2,0.005,0.0
1774254645.8657103,1.741,-9999.000000,24.368347,26.0,47.6589,LOW,0.2,0.005,0.0
1774254645.9289608,1.805,-9999.000000,24.363632,26.0,47.8049,LOW,0.2,0.005,0.0
1774254645.9918404,1.867,-9999.000000,24.365206,26.0,47.8249,LOW,0.2,0.005,0.0
1774254646.0545704,1.930,-9999.000000,24.365990,26.0,47.8604,LOW,0.2,0.005,0.0
1774254646.119858,1.995,-9999.000000,24.361670,26.0,48.0003,LOW,0.2,0.005,0.0
1774254646.1823897,2.058,-9999.000000,24.356959,26.0,48.1459,LOW,0.2,0.005,0.0
1774254646.246832,2.122,-9999.000000,24.351069,26.0,48.3168,LOW,0.2,0.005,0.0
1774254646.3103373,2.186,-9999.000000,24.349891,26.0,48.3928,LOW,0.2,0.005,0.0
1774254646.3733869,2.249,-9999.000000,24.350283,26.0,48.4370,LOW,0.2,0.005,0.0
1774254646.4364934,2.312,-9999.000000,24.349499,26.0,48.5047,LOW,0.2,0.005,0.0
1774254646.499621,2.375,-9999.000000,24.343610,26.0,48.6748,LOW,0.2,0.005,0.0
1774254646.563046,2.439,-9999.000000,24.337720,26.0,48.8453,LOW,0.2,0.005,0.0
1774254646.624848,2.500,-9999.000000,24.338112,26.0,48.8888,LOW,0.2,0.005,0.0
1774254646.6889858,2.565,-9999.000000,24.338896,26.0,48.9264,LOW,0.2,0.005,0.0
1774254646.7366607,2.612,-9999.000000,24.336542,26.0,49.0131,LOW,0.2,0.005,0.0
1774254646.7996256,2.675,-9999.000000,24.330261,26.0,49.1913,LOW,0.2,0.005,0.0
1774254646.8629255,2.738,-9999.000000,24.323978,26.0,49.3700,LOW,0.2,0.005,0.0
1774254646.9268847,2.802,-9999.000000,24.323194,26.0,49.4393,LOW,0.2,0.005,0.0
1774254646.9901874,2.866,-9999.000000,24.324373,26.0,49.4688,LOW,0.2,0.005,0.0
1774254647.05295,2.929,-9999.000000,24.323194,26.0,49.5450,LOW,0.2,0.005,0.0
1774254647.11563,2.991,-9999.000000,24.316911,26.0,49.7234,LOW,0.2,0.005,0.0
1774254647.1785665,3.054,-9999.000000,24.312593,26.0,49.8628,LOW,0.2,0.005,0.0
1774254647.2422318,3.118,-9999.000000,24.311023,26.0,49.9480,LOW,0.2,0.005,0.0
1774254647.3044503,3.180,-9999.000000,24.313771,26.0,49.9455,LOW,0.2,0.005,0.0
